type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,390250,90,1,100,110.5,0,1661599.9,33998.9,3261.9
K-12 School,1,90031,27,1,100,100.8,67203.2,703098.8,16467.6,557.9
K-12 School,1,69080,104,1,100,74.5,22508,822779.4,5851.8,363.3
K-12 School,1,72000,90,1,100,60.2,23756.5,567246.3,9130.1,291.8
K-12 School,1,91200,100,1,100,58.4,33136.2,412319.9,7137,337.8
K-12 School,1,148800,64,1,100,45.7,48615.3,562799.9,6125.9,421.9
K-12 School,1,138000,99,1,100,72.5,2042.8,657407.8,10551.4,769.7
K-12 School,1,196800,54,1,100,43.9,38455.8,987671.9,40543.9,595.5
K-12 School,1,92400,112,1,100,73.9,46.5,222880,58470.4,520.8
K-12 School,1,25715,82,1,100,95.7,15182.5,217280,6156164.9,158.1
K-12 School,1,205200,45,1,100,56.3,11.1,1583999.8,7325.9,888.8
K-12 School,1,66000,111,1,100,59.3,22262.7,323560,0,254.6
K-12 School,1,76080,113,1,100,60.4,40286.3,162191.1,2431.4,261.5
K-12 School,1,37360,89,1,100,60.3,14502.3,232200,2539.4,144.7
K-12 School,1,44460,88,1,100,77.7,21113.9,188800,3933.8,218.4
K-12 School,1,130925,94,1,100,71.3,67952.3,473199.9,108.8,565.9
K-12 School,1,92400,83,1,100,76.8,47680.7,502209.1,15300.8,447.4
K-12 School,1,112800,89,1,100,63.8,54549.2,497144.9,2034.9,435.7
K-12 School,1,146400,90,1,100,64.2,69971.4,697599.9,8326.7,580.2
K-12 School,1,105600,55,1,100,42.3,31356.6,381600,10825,278.1
K-12 School,1,195600,53,1,100,74,2202,959941.1,25802.2,1115.5
K-12 School,1,210000,49,1,100,59.3,2862,824745.1,9989.9,911.2
K-12 School,1,141600,47,1,100,51.8,3647,672999.9,11444.6,560.5
K-12 School,1,114000,52,1,100,82.2,797,477599.9,17439.5,719
K-12 School,1,147600,45,1,100,53.4,8,773209.1,23403.9,618.4
K-12 School,1,126000,45,1,100,41.6,33566.1,552304.9,8271.8,337.9
K-12 School,1,460800,45,1,100,62.9,193748.1,2541962.8,20732.4,1752.7
K-12 School,1,712800,87,1,100,88.4,22374,3159999.6,97613.8,4772.6
K-12 School,1,343200,79,1,100,91.5,217153,3115662.2,25373.3,2000.3
K-12 School,1,86575,88,1,100,78.2,47739.7,356153.1,6107.8,414.5
K-12 School,1,214800,86,1,100,54.6,40121.7,2043999.8,8336.1,859.1
K-12 School,1,68400,59,1,100,51.1,3058,270240,5069.8,264.8
K-12 School,1,126525,88,1,100,76,58904.5,756399.9,5969.6,615.2
K-12 School,1,91200,69,1,100,56,351,474759.9,4309.3,395.2
K-12 School,1,94880,59,1,100,58,623,373599.9,6059,425.2
K-12 School,1,132175,55,1,100,68.5,57315.7,990879.9,7157,587.9
K-12 School,1,183725,62,1,100,37.2,37163.2,402799.9,15526.1,405.8
K-12 School,1,212575,45,1,100,43.9,54070.7,1137549.2,9498.5,618.4
K-12 School,1,281775,79,1,100,89.7,2397.8,1339999.9,0,1941.3
K-12 School,1,348000,53,1,100,67.8,2049,1577599.8,22506.4,1821.3
K-12 School,1,33410,118,1,100,67.3,8983.4,301040,2311.6,158.6
K-12 School,1,51795,18,1,100,74.6,14458.1,665599.9,7291.2,279.7
K-12 School,1,87600,18,1,100,111.9,31907.7,1319612.5,8785.4,708.5
K-12 School,1,145025,100,1,100,57.2,30398.4,1343399.2,14451.8,599.7
K-12 School,1,46060,89,1,100,84,17157.9,619999.9,17129,272.3
K-12 School,1,69320,43,1,100,49.5,0,608069.7,4236,276.3
